Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-03-06,36.93330764770508,37.955575549313195,36.55383097816324,37.823921222326334,55640500
2020-03-09,32.41829299926758,34.517039847504755,31.597379607057157,32.30212497859447,72896300
2020-03-10,33.618690490722656,35.82585973599554,32.10077750259547,35.75615949907766,60445900
2020-03-11,32.51123046875,33.67289903080085,32.33310831041532,32.828753090872866,51986100
2020-03-12,28.793893814086914,31.481221567276005,28.65449333987516,30.900387242819075,65725300
2020-03-13,29.521867752075195,31.08624834085193,27.10559811842954,30.98556957778627,79891500
2020-03-16,26.710634231567383,29.336004754488194,25.750320237128385,26.64093399846878,48924700
2020-03-17,28.50734519958496,28.94877898001949,26.48604159745018,27.268230397471246,41204400
2020-03-18,25.649642944335938,28.42990336262185,24.18594091918806,26.757100626127684,54036400
2020-03-19,26.664169311523438,27.028159785365137,25.05332061852521,26.12205665698456,49412400
2020-03-20,25.35535430908203,27.245000812508145,24.441506641085873,26.981689148120605,76534600
2020-03-23,24.35631561279297,25.324372648641052,23.318558352192795,25.19271535554239,56952500
2020-03-24,27.446359634399414,28.01170474572979,25.81228138595068,26.656424519392512,61835600
2020-03-25,28.87908172607422,29.88586057534137,27.245000777499172,28.27501205309314,56607700
2020-03-26,30.06397819519043,30.637069243637715,28.437643603942938,29.04171023138763,46722000
2020-03-27,28.615772247314453,29.18111731388968,28.034937910579828,28.75517272447286,51558600
2020-03-30,29.041715621948242,29.54510654110578,27.771625064765878,28.058169165038464,45835000
2020-03-31,29.40570068359375,30.55187982901679,28.941031546189464,29.692244731380626,41491600
2020-04-01,29.064945220947266,29.971048196408336,28.143355931757657,28.546068037043042,36045900
2020-04-02,31.2876033782959,32.495736621883175,29.351489380982425,30.002023802250772,62000200
2020-04-03,30.366016387939453,32.66612115320036,29.83164989736236,32.10077612437288,48425700
2020-04-06,31.341819763183594,31.62062069977716,30.381505754280873,30.88489666249437,41301900
2020-04-07,31.938146591186523,33.548992344146015,31.876189508165307,33.22372652111358,48921800
2020-04-08,33.959442138671875,34.106588709701974,32.116263533652194,32.48799710830178,33355600
2020-04-09,33.401851654052734,36.174366370092805,32.3253723528133,35.206309019442,60107300
2020-04-13,33.11530303955078,34.60998375706934,32.50349306711726,34.424118408623556,29651900
2020-04-14,32.85972595214844,33.88199387382819,32.457013899020744,33.301159693134,30769000
2020-04-15,31.34957504272461,31.798755159651115,30.497685588640966,31.752287334158908,33125000
2020-04-16,30.319547653198242,31.349558806810904,30.1491686689098,31.349558806810904,30934000
2020-04-17,33.47154235839844,33.54898574265999,30.87714762577628,30.88489373676788,40829100
2020-04-20,31.89167022705078,33.09980643351143,31.396025512895296,31.558658380800903,39260800
2020-04-21,31.721288681030273,32.62739150110025,30.691277646726693,31.287601068386785,44381600
2020-04-22,32.627403259277344,33.246959325095794,32.4183025331368,32.99139078616523,27074200
2020-04-23,33.64967346191406,34.586752250562746,33.15402858045613,33.401851021185095,35271000
2020-04-24,33.86651611328125,34.76487316644889,33.40184979257525,34.385396360536824,28653800
2020-04-27,34.02914047241211,34.323430643798226,32.7048391325881,33.758085679211526,28274400
2020-04-28,34.82683181762695,35.15209766589283,34.16080789486171,34.3621625217487,26545100
2020-04-29,36.75519561767578,36.86361755303496,35.74841670527116,35.82586010073453,29502500
